occ_code,Title,mSML,vmSML,sdmSML
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",3.441619659,0.34675775,0.588861402
53-2012.00,Commercial Pilots,3.440887956,0.356581295,0.597144283
53-2021.00,Air Traffic Controllers,3.495699006,0.361768837,0.601472225
53-2022.00,Airfield Operations Specialists,3.382875252,0.323427021,0.568706445
53-2031.00,Flight Attendants,3.54440471,0.356290503,0.596900748
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.560157841,0.245353056,0.495331259
53-3021.00,"Bus Drivers, Transit and Intercity",3.389292336,0.372133351,0.610027336
53-3022.00,"Bus Drivers, School or Special Client",3.435128542,0.316742064,0.562798423
53-3031.00,Driver/Sales Workers,3.541213243,0.370900479,0.609015992
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,3.405050656,0.457137541,0.676119473
53-3033.00,Light Truck or Delivery Services Drivers,3.461126846,0.394708377,0.628258209
53-3041.00,Taxi Drivers and Chauffeurs,3.398120414,0.412869529,0.642549243
53-4011.00,Locomotive Engineers,3.495426492,0.357717984,0.598095297
53-4012.00,Locomotive Firers,3.489189103,0.385828989,0.621151341
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3.344179604,0.330937237,0.575271447
53-4021.00,"Railroad Brake, Signal, and Switch Operators",3.373048025,0.287201653,0.535911983
53-4031.00,Railroad Conductors and Yardmasters,3.33906107,0.38376084,0.619484334
53-4041.00,Subway and Streetcar Operators,3.421816462,0.35379818,0.594809365
53-5011.00,Sailors and Marine Oilers,3.457196589,0.343861069,0.586396682
53-5021.01,Ship and Boat Captains,3.427730169,0.361856584,0.601545164
53-5021.02,"Mates- Ship, Boat, and Barge",3.272284326,0.363242102,0.602695696
53-5021.03,"Pilots, Ship",3.458011908,0.450634625,0.671293248
53-5022.00,Motorboat Operators,3.353179465,0.316368575,0.56246651
53-5031.00,Ship Engineers,3.387640866,0.326293769,0.571221296
53-6011.00,Bridge and Lock Tenders,3.482866912,0.326233349,0.571168407
53-6021.00,Parking Lot Attendants,3.443879512,0.404924878,0.636337079
53-6031.00,Automotive and Watercraft Service Attendants,3.433746841,0.418898251,0.647223494
53-6041.00,Traffic Technicians,3.449207359,0.289600294,0.538145235
53-6051.01,Aviation Inspectors,3.649108111,0.276987142,0.526295679
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",3.717184725,0.364262679,0.603541779
53-6051.08,Freight and Cargo Inspectors,3.501417976,0.290125966,0.538633424
53-6061.00,"Transportation Attendants, Except Flight Attendants",3.379550948,0.42062773,0.648558193
53-7011.00,Conveyor Operators and Tenders,3.379008906,0.25458005,0.504559263
53-7021.00,Crane and Tower Operators,3.366143201,0.299168154,0.546962662
53-7031.00,Dredge Operators,3.225709506,0.095757853,0.309447658
53-7032.00,Excavating and Loading Machine and Dragline Operators,3.442824036,0.306373362,0.553510038
53-7033.00,"Loading Machine Operators, Underground Mining",3.266624185,0.253435216,0.503423496
53-7041.00,Hoist and Winch Operators,3.180051455,0.278634361,0.527858277
53-7051.00,Industrial Truck and Tractor Operators,3.313886917,0.291822358,0.540205847
53-7061.00,Cleaners of Vehicles and Equipment,3.390557041,0.314750335,0.561026145
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",3.31375857,0.39339375,0.627211089
53-7063.00,Machine Feeders and Offbearers,3.380449114,0.296018134,0.544075485
53-7064.00,"Packers and Packagers, Hand",3.304250966,0.264352563,0.514152276
53-7071.00,Gas Compressor and Gas Pumping Station Operators,3.316049442,0.253529026,0.503516659
53-7072.00,"Pump Operators, Except Wellhead Pumpers",3.419413098,0.23571749,0.485507456
53-7073.00,Wellhead Pumpers,3.322085141,0.284905231,0.533765146
53-7081.00,Refuse and Recyclable Material Collectors,3.47210915,0.377993534,0.614811787
53-7111.00,Mine Shuttle Car Operators,3.34328665,0.288096703,0.536746405
53-7121.00,"Tank Car, Truck, and Ship Loaders",3.413943292,0.33523573,0.578995449
